,NAME,BOOKMAKER,CATEGORY,LINE,OVER/UNDER,ODDS,SIM PROB,EV,KELLY CRITERION
262,Chet Holmgren,BetRivers,player_points,15.5,Under,-125,0.468,-15.83,0.0
263,Obi Toppin,BetRivers,player_points,10.5,Over,115,0.39,-16.11,0.0
264,Andrew Nembhard,BetRivers,player_points,12.5,Under,-130,0.473,-16.34,0.0
265,Alex Caruso,Bovada,player_points,10.5,Over,125,0.371,-16.5,0.0
266,Andrew Nembhard,Bovada,player_points,12.5,Under,-135,0.48,-16.51,0.0
267,Myles Turner,BetOnline.ag,player_points,14.5,Under,-116,0.448,-16.67,0.0
268,Jalen Williams,DraftKings,player_points,21.5,Over,-105,0.427,-16.72,0.0
269,Jalen Williams,Bovada,player_points,22.5,Over,125,0.369,-16.93,0.0
270,Chet Holmgren,FanDuel,player_points,15.5,Under,-130,0.469,-16.96,0.0
271,Jalen Williams,Bovada,player_points,23.5,Over,150,0.33,-17.44,0.0
272,Pascal Siakam,Bovada,player_points,22.5,Under,-230,0.575,-17.51,0.0
273,Myles Turner,Bovada,player_points,13.5,Under,115,0.383,-17.59,0.0
274,Myles Turner,BetRivers,player_points,14.5,Under,-124,0.45,-18.77,0.0
275,Tyrese Haliburton,FanDuel,player_points,17.5,Under,-125,0.451,-18.87,0.0
276,Aaron Nesmith,Bovada,player_points,15.5,Under,-290,0.603,-18.89,0.0
277,T.J. McConnell,Bovada,player_points,9.5,Under,-245,0.576,-18.93,0.0
278,Pascal Siakam,Bovada,player_points,21.5,Under,-185,0.526,-18.97,0.0
279,Aaron Nesmith,BetRivers,player_points,13.5,Under,-150,0.485,-19.19,0.0
280,Chet Holmgren,BetRivers,player_points,14.5,Under,100,0.404,-19.22,0.0
281,Andrew Nembhard,FanDuel,player_points,11.5,Under,-102,0.404,-19.99,0.0
282,Pascal Siakam,BetRivers,player_points,20.5,Under,-148,0.477,-19.99,0.0
283,Jalen Williams,Bovada,player_points,24.5,Over,185,0.281,-20.03,0.0
284,Aaron Nesmith,Bovada,player_points,14.5,Under,-215,0.545,-20.11,0.0
285,Bennedict Mathurin,Bovada,player_points,11.5,Under,-260,0.576,-20.25,0.0
286,Ben Sheppard,DraftKings,player_points,2.5,Under,-110,0.417,-20.3,0.0
287,Pascal Siakam,Bovada,player_points,20.5,Under,-150,0.477,-20.52,0.0
288,T.J. McConnell,BetOnline.ag,player_points,7.5,Under,-120,0.433,-20.59,0.0
289,Chet Holmgren,Bovada,player_points,14.5,Under,-105,0.406,-20.66,0.0
290,Bennedict Mathurin,Bovada,player_points,10.5,Under,-190,0.518,-20.87,0.0
291,Andrew Nembhard,BetRivers,player_points,11.5,Under,100,0.395,-20.93,0.0
292,Bennedict Mathurin,BetOnline.ag,player_points,8.5,Under,-112,0.417,-21.01,0.0
293,Myles Turner,Bovada,player_points,12.5,Under,150,0.316,-21.04,0.0
294,Bennedict Mathurin,Bovada,player_points,9.5,Under,-145,0.467,-21.11,0.0
295,Andrew Nembhard,BetOnline.ag,player_points,11.5,Under,-104,0.402,-21.14,0.0
296,Thomas Bryant,DraftKings,player_points,2.5,Under,-120,0.43,-21.15,0.0
297,T.J. McConnell,Bovada,player_points,8.5,Under,-180,0.507,-21.2,0.0
298,Pascal Siakam,DraftKings,player_points,19.5,Under,-120,0.428,-21.51,0.0
299,Jalen Williams,BetRivers,player_points,22.5,Over,112,0.37,-21.54,0.0
300,Andrew Nembhard,DraftKings,player_points,11.5,Under,-105,0.402,-21.56,0.0
301,Tyrese Haliburton,BetRivers,player_points,17.5,Under,-132,0.446,-21.57,0.0
302,Aaron Nesmith,Bovada,player_points,13.5,Under,-165,0.488,-21.64,0.0
303,Tyrese Haliburton,BetRivers,player_points,15.5,Under,116,0.361,-22.0,0.0
304,Pascal Siakam,BetRivers,player_points,19.5,Under,-120,0.424,-22.19,0.0
305,Tyrese Haliburton,BetRivers,player_points,16.5,Under,-107,0.402,-22.21,0.0
306,Aaron Nesmith,BetRivers,player_points,12.5,Under,-118,0.421,-22.24,0.0
307,Pascal Siakam,Bovada,player_points,19.5,Under,-120,0.424,-22.29,0.0
308,Bennedict Mathurin,DraftKings,player_points,8.5,Under,-120,0.424,-22.32,0.0
