Player,Position,Prop,Line,Opponent,Odds Over,Odds Under,Implied Over,Implied Under,EV Over,EV Under,Avg Stat L10,Med Stat L10,Std Stat L10,Z Score,Prob Over,Prob Under,OVER L5,OVER L10,OVER L15,Avg Min L10,Std Min L10,Avg USG% L10,Std USG% L10,Avg Stat vs Matchup,Matchup Games,Spread,Total,Opp Def Rating,Opp Def Rank,Opp Pace,Opp Pace Rank
Jalen Duren,C,PTS+REB,33.5,Minnesota Timberwolves,-105,-125,0.512,0.556,-8.04,-4.78,33.0,31.0,6.94,0.072,0.471,0.529,0.4,0.3,0.4,27.02,6.45,0.27,0.05,18.0,2.0,-1.5,221.0,112.2,6,101.42,9
LaMelo Ball,PG,PTS+AST,28.5,Boston Celtics,100,-125,0.5,0.556,-8.2,-2.62,27.7,27.0,7.66,0.104,0.459,0.541,0.4,0.4,0.4,26.96,5.27,0.32,0.04,33.0,3.0,-2.5,215.5,111.5,4,95.47,30
LaMelo Ball,PG,PTS+AST,28.5,Philadelphia 76ers,100,-125,0.5,0.556,-8.2,-2.62,27.7,27.0,7.66,0.104,0.459,0.541,0.4,0.4,0.4,26.96,5.27,0.32,0.04,31.5,4.0,-6.5,230.5,114.8,17,100.33,16
Jordan Goodwin,PG,REB+AST,7.5,Utah Jazz,-117,-104,0.539,0.51,-10.05,1.02,7.4,7.5,2.72,0.037,0.485,0.515,0.8,0.5,0.4,23.51,5.99,0.15,0.05,7.33,3.0,-16.5,231.5,120.7,29,102.95,2
Miles Bridges,SF,3PM,1.5,Philadelphia 76ers,100,-115,0.5,0.535,-11.2,3.95,1.3,1.0,1.42,0.141,0.444,0.556,0.0,0.4,0.4,29.11,3.74,0.21,0.04,1.75,4.0,-6.5,230.5,114.8,17,100.33,16
Miles Bridges,SF,3PM,1.5,Boston Celtics,100,-115,0.5,0.535,-11.2,3.95,1.3,1.0,1.42,0.141,0.444,0.556,0.0,0.4,0.4,29.11,3.74,0.21,0.04,1.67,3.0,-2.5,215.5,111.5,4,95.47,30
Oso Ighodaro,PF,PTS+REB+AST,18.5,Utah Jazz,-120,100,0.545,0.5,-11.63,3.6,18.2,15.5,6.89,0.044,0.482,0.518,0.8,0.4,0.47,29.0,4.72,0.11,0.04,8.8,5.0,-16.5,231.5,120.7,29,102.95,2
DeMar DeRozan,SF,REB,2.5,Atlanta Hawks,-105,100,0.512,0.5,-12.34,10.2,2.3,2.5,1.57,0.127,0.449,0.551,0.6,0.5,0.4,30.13,7.5,0.24,0.08,5.0,2.0,14.5,236.5,113.1,11,102.59,4
Jordan Goodwin,PG,PTS+REB+AST,16.5,Utah Jazz,100,-122,0.5,0.55,-12.4,2.27,15.7,14.0,5.14,0.156,0.438,0.562,0.6,0.4,0.33,23.51,5.99,0.15,0.05,16.33,3.0,-16.5,231.5,120.7,29,102.95,2
Jordan Goodwin,PG,STL,1.5,Utah Jazz,-137,-137,0.578,0.578,-13.5,-13.5,1.5,2.0,0.97,0.0,0.5,0.5,0.8,0.6,0.53,23.51,5.99,0.15,0.05,1.33,3.0,-16.5,231.5,120.7,29,102.95,2
Dyson Daniels,PG,BLK+STL,2.5,Sacramento Kings,-137,-137,0.578,0.578,-13.5,-13.5,2.5,2.0,0.71,0.0,0.5,0.5,0.2,0.4,0.47,30.86,4.46,0.15,0.03,3.0,2.0,-14.5,236.5,120.2,28,100.31,17
