NAME,CATEGORY,SIDE,BOOKMAKER,LINE,ODDS,fair_line,fair_odds,GAME_DATE
Victor Wembanyama,rebounds,under,espnbet,18.5,-200,9.0,100,2024-10-28
Victor Wembanyama,points,over,espnbet,12.5,100,18.0,100,2024-10-28
Nikola Vučević,points,under,fanduel,22.5,-192,17.5,100,2024-10-28
Josh Giddey,assists,under,fanduel,8.5,-136,6.0,100,2024-10-28
Nikola Vučević,assists,over,fanduel,4.5,172,3.0,100,2024-10-28
Coby White,assists,over,fanduel,5.5,146,5.5,163,2024-10-28
Josh Giddey,points,under,fanduel,9.5,116,12.0,100,2024-10-28
Desmond Bane,assists,over,fanduel,3.5,-140,5.5,100,2024-10-28
Santi Aldama,points,under,fanduel,13.5,-152,13.5,-129,2024-10-28
Desmond Bane,rebounds,under,fanduel,6.5,118,4.5,-103,2024-10-28
Coby White,assists,under,fanduel,5.5,-198,5.5,-163,2024-10-28
Coby White,points,over,fanduel,22.5,108,22.5,123,2024-10-28
Zach LaVine,rebounds,over,fanduel,3.5,-132,3.5,-114,2024-10-28
Nikola Vučević,points,over,fanduel,22.5,142,17.5,100,2024-10-28
Desmond Bane,rebounds,over,fanduel,6.5,-158,4.5,103,2024-10-28
Zach LaVine,rebounds,under,fanduel,3.5,100,3.5,114,2024-10-28
Josh Giddey,points,over,fanduel,9.5,-154,12.0,100,2024-10-28
Nikola Vučević,rebounds,under,fanduel,7.5,-136,8.5,-173,2024-10-28
Nikola Vučević,rebounds,under,espnbet,8.5,-225,8.5,-173,2024-10-28
Santi Aldama,points,over,fanduel,13.5,114,13.5,129,2024-10-28
Patrick Williams,points,under,fanduel,5.5,-750,5.5,-682,2024-10-28
Josh Giddey,rebounds,under,fanduel,9.5,-192,6.5,-124,2024-10-28
Josh Giddey,assists,over,fanduel,8.5,102,6.0,100,2024-10-28
Nikola Vučević,rebounds,over,fanduel,7.5,102,8.5,173,2024-10-28
Nikola Vučević,rebounds,over,espnbet,8.5,150,8.5,173,2024-10-28
